Nombre del Café,Descripción,Tipo de Producto,Tags,Vendor,Handle,Variante,Precio,SKU
504 Coffee & Roastery - Bolivia,"<p>Origen: Bolivia, Caranavi ·</p>
<p>Tostado en: Valparaíso, Chile</p>
<p>Del sector de Amazonas, región de Yungas, nos encontramos con un café que nos invita a un viaje por la naturaleza desde que abrimos el envase hasta la última gota de cada taza. Con un aroma frutal y muy herbal, nos recuerda a frutas con carozo, hierbas y mucho dulzor. En sabor, tenemos una taza muy expresiva, a alta temperatura es un café muy dulce como un caramelo de durazno y cacao. Más frío, encontramos sabor a manzanilla y mucha flor. Agradable para compartir una taza en las tardes de primavera.</p>",Café,"60, Bolivia, Cafe, Café en Grano, Café Molido, Con Cafeína, Origen: Bolivia, Todo café, Todos",504 Coffe&Roastery,504-coffe-roastery-bolivia,Grano / 250,9990,EMDC158
504 Coffee & Roastery - Bolivia,"<p>Origen: Bolivia, Caranavi ·</p>
<p>Tostado en: Valparaíso, Chile</p>
<p>Del sector de Amazonas, región de Yungas, nos encontramos con un café que nos invita a un viaje por la naturaleza desde que abrimos el envase hasta la última gota de cada taza. Con un aroma frutal y muy herbal, nos recuerda a frutas con carozo, hierbas y mucho dulzor. En sabor, tenemos una taza muy expresiva, a alta temperatura es un café muy dulce como un caramelo de durazno y cacao. Más frío, encontramos sabor a manzanilla y mucha flor. Agradable para compartir una taza en las tardes de primavera.</p>",Café,"60, Bolivia, Cafe, Café en Grano, Café Molido, Con Cafeína, Origen: Bolivia, Todo café, Todos",504 Coffe&Roastery,504-coffe-roastery-bolivia,Grano / 1000,34990,EMDC159
504 Coffee & Roastery - Bolivia,"<p>Origen: Bolivia, Caranavi ·</p>
<p>Tostado en: Valparaíso, Chile</p>
<p>Del sector de Amazonas, región de Yungas, nos encontramos con un café que nos invita a un viaje por la naturaleza desde que abrimos el envase hasta la última gota de cada taza. Con un aroma frutal y muy herbal, nos recuerda a frutas con carozo, hierbas y mucho dulzor. En sabor, tenemos una taza muy expresiva, a alta temperatura es un café muy dulce como un caramelo de durazno y cacao. Más frío, encontramos sabor a manzanilla y mucha flor. Agradable para compartir una taza en las tardes de primavera.</p>",Café,"60, Bolivia, Cafe, Café en Grano, Café Molido, Con Cafeína, Origen: Bolivia, Todo café, Todos",504 Coffe&Roastery,504-coffe-roastery-bolivia,Molido / 250,7190,EMDC160
504 Coffee & Roastery - Guatemala,"<p>Este café de Guatemala ofrece una experiencia única y envolvente. En la taza, se destaca el chocolate amargo que se fusiona suavemente con un toque de panela, aportando una dulzura terrosa y profunda. La manzana roja, con su frescura y ligera acidez, aparece sutilmente al final, equilibrando perfectamente los sabores y añadiendo un toque frutal necesario para terminar de manera redonda esta taza maravillosa.<strong></strong></p>
<p> </p>
<p><strong>Descripción General: </strong></p>
<p><meta charset=""utf-8""><strong>Origen: </strong>Guatemala</p>
<p><strong>Region: </strong>La Libertad, Huehuetenango</p>
<p><strong>Proceso: </strong>Lavado</p>
<p><strong>Altura: </strong>1600 M.S.N.M</p>
<p><strong>Variedad: </strong>Caturra, Catuai y Bourbon</p>
<p><strong>Notas: </strong>Chocolate, Panela y Manzana Roja</p>
<p> </p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Guatemala, nuevo, Origen, Origen: Guatemala, Todo café, Todos",504 Coffe&Roastery,504-coffee-roastery-peru-copia,Grano / 250,7990,MCMK00700
504 Coffee & Roastery - Guatemala,"<p>Este café de Guatemala ofrece una experiencia única y envolvente. En la taza, se destaca el chocolate amargo que se fusiona suavemente con un toque de panela, aportando una dulzura terrosa y profunda. La manzana roja, con su frescura y ligera acidez, aparece sutilmente al final, equilibrando perfectamente los sabores y añadiendo un toque frutal necesario para terminar de manera redonda esta taza maravillosa.<strong></strong></p>
<p> </p>
<p><strong>Descripción General: </strong></p>
<p><meta charset=""utf-8""><strong>Origen: </strong>Guatemala</p>
<p><strong>Region: </strong>La Libertad, Huehuetenango</p>
<p><strong>Proceso: </strong>Lavado</p>
<p><strong>Altura: </strong>1600 M.S.N.M</p>
<p><strong>Variedad: </strong>Caturra, Catuai y Bourbon</p>
<p><strong>Notas: </strong>Chocolate, Panela y Manzana Roja</p>
<p> </p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Guatemala, nuevo, Origen, Origen: Guatemala, Todo café, Todos",504 Coffe&Roastery,504-coffee-roastery-peru-copia,Grano / 1000,24990,EMDC162
504 Coffee & Roastery - Guatemala,"<p>Este café de Guatemala ofrece una experiencia única y envolvente. En la taza, se destaca el chocolate amargo que se fusiona suavemente con un toque de panela, aportando una dulzura terrosa y profunda. La manzana roja, con su frescura y ligera acidez, aparece sutilmente al final, equilibrando perfectamente los sabores y añadiendo un toque frutal necesario para terminar de manera redonda esta taza maravillosa.<strong></strong></p>
<p> </p>
<p><strong>Descripción General: </strong></p>
<p><meta charset=""utf-8""><strong>Origen: </strong>Guatemala</p>
<p><strong>Region: </strong>La Libertad, Huehuetenango</p>
<p><strong>Proceso: </strong>Lavado</p>
<p><strong>Altura: </strong>1600 M.S.N.M</p>
<p><strong>Variedad: </strong>Caturra, Catuai y Bourbon</p>
<p><strong>Notas: </strong>Chocolate, Panela y Manzana Roja</p>
<p> </p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Guatemala, nuevo, Origen, Origen: Guatemala, Todo café, Todos",504 Coffe&Roastery,504-coffee-roastery-peru-copia,Molido / 250,7990,MCMK00701
504 Coffee & Roastery - Perú,"<p class=""MsoNormal"">Origen: Perú</p>
<p class=""MsoNormal"">Región: San Ignacio de Cajamarca</p>
<p class=""MsoNormal"">Proceso: Lavado</p>
<p class=""MsoNormal"">Altura: 1400-1600 M.S.N.M</p>
<p class=""MsoNormal"">Variedad: Catimor, Pache, Caturra</p>
<p class=""MsoNormal"">Notas: Caramelo, Panela y Frutos Rojos Maduros</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Todo café, Todos",504 Coffe&Roastery,504-coffe-roastery-peru,Grano / 250,7990,EMDC161
504 Coffee & Roastery - Perú,"<p class=""MsoNormal"">Origen: Perú</p>
<p class=""MsoNormal"">Región: San Ignacio de Cajamarca</p>
<p class=""MsoNormal"">Proceso: Lavado</p>
<p class=""MsoNormal"">Altura: 1400-1600 M.S.N.M</p>
<p class=""MsoNormal"">Variedad: Catimor, Pache, Caturra</p>
<p class=""MsoNormal"">Notas: Caramelo, Panela y Frutos Rojos Maduros</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Todo café, Todos",504 Coffe&Roastery,504-coffe-roastery-peru,Molido / 250,7990,EMDC163
Amarket - Balanza Báscula de Café Digital con Temporizador,"<p class=""p1"">1: [báscula de café con sensor de pesaje de alta precisión incorporado] la precisión es de 0,1g/0.005oz, el valor máximo de medición es de 3KG/6.6lbs. Las básculas de café estables y precisas garantizan una alta calidad y el mejor sabor, asegurando la consistencia de taza a taza.</p>
<p class=""p1"">2: [Modos de sincronización automática y manual] Haga doble clic en el botón oz/ml/g/cero para cambiar entre los modos de sincronización automática y manual. El temporizador puede controlar con precisión el tiempo de preparación durante 1s, y el tiempo de sincronización es de hasta 99 minutos y 59 segundos. Puede ayudarlo a controlar mejor el tiempo y el peso de extracción, y disfrutar del aroma del café.</p>
<p class=""p1"">3: [material de alta calidad y función de pelado] El café Espresso está hecho de material ABS de alta calidad, resistencia superficial a 135 a alta temperatura impermeable, duradero, fácil de limpiar. Teclas táctiles de alta sensibilidad, dos juegos de teclas de un vistazo, fáciles de usar. La Función de pelado puede ayudarle a obtener el producto menos el peso neto del recipiente o tazón.</p>
<p class=""p1""><br>4: [Conversión de unidades] Las básculas de cocina con temporizadores tienen 3 unidades de medida (G/oz/ml) que se pueden cambiar en cualquier momento y admiten el pesaje de sólidos, líquidos y polvos. Es un gran ayudante para hacer espresso, cocinar, hornear, hacer leche en polvo y cocinar.</p>
<p class=""p1""><br>5: [Fácil de leer y almacenar] La pantalla dual LED HD es clara, fácil de administrar el tiempo y el peso, y puede ver fácilmente la pantalla incluso en entornos oscuros o deslumbrantes. El tamaño compacto hace que sea fácil de colocar en la cocina o llevar en un viaje de campamento al aire libre. La báscula de café digital es adecuada para tazas de espresso pequeñas a tazas del tamaño de un café con leche o capuchino.<br><br><strong>Especificaciones:</strong><br>Nombre: Báscula electrónica de café<br>Material: ABS<br>Rango de pesaje: 0,1 ~ 3000G<br>Valor del Índice: 0,1g<br>Fuente de alimentación: carga de interfaz tipo C<br>Funciones del botón: encendido/apagado, sincronización, interruptor de la unidad, cero<br>Conversión de unidades: (G/oz/ml)<br>Capacidad de la batería: 250 Mah</p>",Complementos,"Accesorios, balanza, Todo Accesorios, Todos",Amarket Gourmet,amarket-balanza-bascula-de-cafe-digital-con-temporizador,Default Title,25990,"7,12E+13"
Amarket - Distribuidor De Cafe Wdt para Barista,"<p class=""p1"">Distribuidor de Cafe WDT Herramienta Accesorio Barista</p>
<p class=""p1"">Material: Madera / Acero Inoxidable</p>",Complementos,"Accesorios, Todo Accesorios, Todos",Amarket Gourmet,amarket-distribuidor-de-cafe-wdt-para-barista,Madera Oscura,7490,"7,19E+13"
